series_id,name,frequency,productid,activityid,iso,unit,data,label,country,lastValue,firstValue,lat,long,iso_2,dependence,pop,GDP,TBtuUSD,MBtuPP,FF_dependence
INTL.4411-2-WSM-QBTU.A,"Total energy consumption from coal, Samoa, Annual",A,4411,2,WSM,QBTU,"[{'date': 315532800000, 'value': 0}, {'date': 347155200000, 'value': 0}, {'date': 378691200000, 'value': 0}, {'date': 410227200000, 'value': 0}, {'date': 441763200000, 'value': 0}, {'date': 473385600000, 'value': 0}, {'date': 504921600000, 'value': 0}, {'date': 536457600000, 'value': 0}, {'date': 567993600000, 'value': 0}, {'date': 599616000000, 'value': 0}, {'date': 631152000000, 'value': 0}, {'date': 662688000000, 'value': 0}, {'date': 694224000000, 'value': 0}, {'date': 725846400000, 'value': 0}, {'date': 757382400000, 'value': 0}, {'date': 788918400000, 'value': 0}, {'date': 820454400000, 'value': 0}, {'date': 852076800000, 'value': 0}, {'date': 883612800000, 'value': 0}, {'date': 915148800000, 'value': 0}, {'date': 946684800000, 'value': 0}, {'date': 978307200000, 'value': 0}, {'date': 1009843200000, 'value': 0}, {'date': 1041379200000, 'value': 0}, {'date': 1072915200000, 'value': 0}, {'date': 1104537600000, 'value': 0}, {'date': 1136073600000, 'value': 0}, {'date': 1167609600000, 'value': 0}, {'date': 1199145600000, 'value': 0}, {'date': 1230768000000, 'value': 0}, {'date': 1262304000000, 'value': 0}, {'date': 1293840000000, 'value': 0}, {'date': 1325376000000, 'value': 0}, {'date': 1356998400000, 'value': 0}, {'date': 1388534400000, 'value': 0}, {'date': 1420070400000, 'value': 0}, {'date': 1451606400000, 'value': 0}, {'date': 1483228800000, 'value': 0}]",Coal,Samoa,0.0,0.0,-13.754705192114367,-172.16175453013528,WS,0.0,195,1.1,0.0,0.0,1.0
INTL.4411-2-YEM-QBTU.A,"Total energy consumption from coal, Yemen, Annual",A,4411,2,YEM,QBTU,"[{'date': 315532800000, 'value': 0}, {'date': 347155200000, 'value': 0}, {'date': 378691200000, 'value': 0}, {'date': 410227200000, 'value': 0}, {'date': 441763200000, 'value': 0}, {'date': 473385600000, 'value': 0}, {'date': 504921600000, 'value': 0}, {'date': 536457600000, 'value': 0}, {'date': 567993600000, 'value': 0}, {'date': 599616000000, 'value': 0}, {'date': 631152000000, 'value': 0}, {'date': 662688000000, 'value': 0}, {'date': 694224000000, 'value': 0}, {'date': 725846400000, 'value': 0}, {'date': 757382400000, 'value': 0}, {'date': 788918400000, 'value': 0}, {'date': 820454400000, 'value': 0}, {'date': 852076800000, 'value': 0}, {'date': 883612800000, 'value': 0}, {'date': 915148800000, 'value': 0}, {'date': 946684800000, 'value': 0}, {'date': 978307200000, 'value': 0}, {'date': 1009843200000, 'value': 0}, {'date': 1041379200000, 'value': 0}, {'date': 1072915200000, 'value': '(s)'}, {'date': 1104537600000, 'value': '(s)'}, {'date': 1136073600000, 'value': '(s)'}, {'date': 1167609600000, 'value': '(s)'}, {'date': 1199145600000, 'value': 0.001}, {'date': 1230768000000, 'value': 0.002}, {'date': 1262304000000, 'value': 0.004}, {'date': 1293840000000, 'value': 0.004}, {'date': 1325376000000, 'value': 0.005}, {'date': 1356998400000, 'value': 0.005}, {'date': 1388534400000, 'value': 0.004}, {'date': 1420070400000, 'value': 0.003}, {'date': 1451606400000, 'value': 0.003}, {'date': 1483228800000, 'value': 0.008999999999999}]",Coal,Yemen,0.008999999999999,0.008999999999999,15.905249241644857,47.59060085692215,YE,0.06474820143884172,27835,60.9,0.14778325123151068,0.3233339320998383,0.9352517985611584
INTL.4411-2-ZAF-QBTU.A,"Total energy consumption from coal, South Africa, Annual",A,4411,2,ZAF,QBTU,"[{'date': 315532800000, 'value': 1.985}, {'date': 347155200000, 'value': 2.166999999999999}, {'date': 378691200000, 'value': 2.319999999999999}, {'date': 410227200000, 'value': 2.442}, {'date': 441763200000, 'value': 2.605}, {'date': 473385600000, 'value': 2.676}, {'date': 504921600000, 'value': 2.678999999999999}, {'date': 536457600000, 'value': 2.842}, {'date': 567993600000, 'value': 2.866}, {'date': 599616000000, 'value': 2.866}, {'date': 631152000000, 'value': 2.968999999999999}, {'date': 662688000000, 'value': 2.907}, {'date': 694224000000, 'value': 2.87}, {'date': 725846400000, 'value': 2.959}, {'date': 757382400000, 'value': 3}, {'date': 788918400000, 'value': 3.194999999999999}, {'date': 820454400000, 'value': 3.323}, {'date': 852076800000, 'value': 3.456}, {'date': 883612800000, 'value': 3.521999999999999}, {'date': 915148800000, 'value': 3.362}, {'date': 946684800000, 'value': 3.480999999999999}, {'date': 978307200000, 'value': 3.446}, {'date': 1009843200000, 'value': 3.556999999999999}, {'date': 1041379200000, 'value': 3.774}, {'date': 1072915200000, 'value': 3.795999999999999}, {'date': 1104537600000, 'value': 3.879}, {'date': 1136073600000, 'value': 3.962}, {'date': 1167609600000, 'value': 4.08}, {'date': 1199145600000, 'value': 4.078}, {'date': 1230768000000, 'value': 4.065}, {'date': 1262304000000, 'value': 4.136}, {'date': 1293840000000, 'value': 3.906}, {'date': 1325376000000, 'value': 4.062999999999999}, {'date': 1356998400000, 'value': 4.044999999999999}, {'date': 1388534400000, 'value': 4.025999999999999}, {'date': 1420070400000, 'value': 3.954}, {'date': 1451606400000, 'value': 3.976}, {'date': 1483228800000, 'value': 3.978}]",Coal,South Africa,3.978,3.978,-29.001024687007945,25.087310261994123,ZA,0.7009691629955949,57093,743.1,5.353249899071457,69.67579212863224,0.29903083700440514
INTL.4411-2-ZMB-QBTU.A,"Total energy consumption from coal, Zambia, Annual",A,4411,2,ZMB,QBTU,"[{'date': 315532800000, 'value': 0.014999999999999002}, {'date': 347155200000, 'value': 0.012}, {'date': 378691200000, 'value': 0.012999999999999}, {'date': 410227200000, 'value': 0.012}, {'date': 441763200000, 'value': 0.010999999999999}, {'date': 473385600000, 'value': 0.012}, {'date': 504921600000, 'value': 0.012999999999999}, {'date': 536457600000, 'value': 0.010999999999999}, {'date': 567993600000, 'value': 0.012}, {'date': 599616000000, 'value': 0.012}, {'date': 631152000000, 'value': 0.008999999999999}, {'date': 662688000000, 'value': 0.008999999999999}, {'date': 694224000000, 'value': 0.01}, {'date': 725846400000, 'value': 0.01}, {'date': 757382400000, 'value': 0.008999999999999}, {'date': 788918400000, 'value': 0.004}, {'date': 820454400000, 'value': 0.005}, {'date': 852076800000, 'value': 0.005}, {'date': 883612800000, 'value': 0.005}, {'date': 915148800000, 'value': 0.003}, {'date': 946684800000, 'value': 0.003}, {'date': 978307200000, 'value': 0.003}, {'date': 1009843200000, 'value': 0.003}, {'date': 1041379200000, 'value': 0.004}, {'date': 1072915200000, 'value': 0.003}, {'date': 1104537600000, 'value': 0.003}, {'date': 1136073600000, 'value': 0.001}, {'date': 1167609600000, 'value': 0.002}, {'date': 1199145600000, 'value': 0.003}, {'date': 1230768000000, 'value': 0.004}, {'date': 1262304000000, 'value': 0.003}, {'date': 1293840000000, 'value': 0.002}, {'date': 1325376000000, 'value': 0.003}, {'date': 1356998400000, 'value': 0.004}, {'date': 1388534400000, 'value': 0.004}, {'date': 1420070400000, 'value': 0.004}, {'date': 1451606400000, 'value': 0.004}, {'date': 1483228800000, 'value': 0.005}]",Coal,Zambia,0.005,0.005,-13.460131073113656,27.77430262170805,ZM,0.028089887640449597,16854,66.9,0.07473841554559042,0.29666548000474663,0.9719101123595504
INTL.4411-2-ZWE-QBTU.A,"Total energy consumption from coal, Zimbabwe, Annual",A,4411,2,ZWE,QBTU,"[{'date': 315532800000, 'value': 0.066}, {'date': 347155200000, 'value': 0.060999999999999006}, {'date': 378691200000, 'value': 0.063}, {'date': 410227200000, 'value': 0.062}, {'date': 441763200000, 'value': 0.064}, {'date': 473385600000, 'value': 0.07499999999999901}, {'date': 504921600000, 'value': 0.08799999999999901}, {'date': 536457600000, 'value': 0.11899999999999901}, {'date': 567993600000, 'value': 0.115}, {'date': 599616000000, 'value': 0.117}, {'date': 631152000000, 'value': 0.121}, {'date': 662688000000, 'value': 0.123}, {'date': 694224000000, 'value': 0.117}, {'date': 725846400000, 'value': 0.11899999999999901}, {'date': 757382400000, 'value': 0.114}, {'date': 788918400000, 'value': 0.11}, {'date': 820454400000, 'value': 0.105}, {'date': 852076800000, 'value': 0.096}, {'date': 883612800000, 'value': 0.099}, {'date': 915148800000, 'value': 0.114}, {'date': 946684800000, 'value': 0.109}, {'date': 978307200000, 'value': 0.10299999999999901}, {'date': 1009843200000, 'value': 0.099}, {'date': 1041379200000, 'value': 0.08899999999999901}, {'date': 1072915200000, 'value': 0.081}, {'date': 1104537600000, 'value': 0.08899999999999901}, {'date': 1136073600000, 'value': 0.083}, {'date': 1167609600000, 'value': 0.083}, {'date': 1199145600000, 'value': 0.060999999999999006}, {'date': 1230768000000, 'value': 0.063}, {'date': 1262304000000, 'value': 0.07499999999999901}, {'date': 1293840000000, 'value': 0.07499999999999901}, {'date': 1325376000000, 'value': 0.082}, {'date': 1356998400000, 'value': 0.081}, {'date': 1388534400000, 'value': 0.082}, {'date': 1420070400000, 'value': 0.08599999999999901}, {'date': 1451606400000, 'value': 0.07599999999999901}, {'date': 1483228800000, 'value': 0.069}]",Coal,Zimbabwe,0.069,0.069,-19.002760641795444,29.851646211338675,ZW,0.4233128834355828,14237,39.0,1.7692307692307692,4.846526655896608,0.5766871165644172
INTL.44-2-KWT-QBTU.A,"Total energy consumption, Kuwait, Annual",A,44,2,KWT,QBTU,"[{'date': 315532800000, 'value': 0.48199999999999904}, {'date': 347155200000, 'value': 0.35199999999999904}, {'date': 378691200000, 'value': 0.35599999999999904}, {'date': 410227200000, 'value': 0.392}, {'date': 441763200000, 'value': 0.40699999999999903}, {'date': 473385600000, 'value': 0.404}, {'date': 504921600000, 'value': 0.452}, {'date': 536457600000, 'value': 0.537}, {'date': 567993600000, 'value': 0.621}, {'date': 599616000000, 'value': 0.6939999999999991}, {'date': 631152000000, 'value': 0.40699999999999903}, {'date': 662688000000, 'value': 0.215}, {'date': 694224000000, 'value': 0.34999999999999903}, {'date': 725846400000, 'value': 0.47499999999999903}, {'date': 757382400000, 'value': 0.5709999999999991}, {'date': 788918400000, 'value': 0.5899999999999991}, {'date': 820454400000, 'value': 0.626}, {'date': 852076800000, 'value': 0.799}, {'date': 883612800000, 'value': 0.8459999999999991}, {'date': 915148800000, 'value': 0.918}, {'date': 946684800000, 'value': 0.8249999999999991}, {'date': 978307200000, 'value': 0.8419999999999991}, {'date': 1009843200000, 'value': 0.8890000000000001}, {'date': 1041379200000, 'value': 0.9639999999999991}, {'date': 1072915200000, 'value': 1.002999999999999}, {'date': 1104537600000, 'value': 1.171}, {'date': 1136073600000, 'value': 1.163}, {'date': 1167609600000, 'value': 1.236}, {'date': 1199145600000, 'value': 1.326}, {'date': 1230768000000, 'value': 1.421999999999999}, {'date': 1262304000000, 'value': 1.401}, {'date': 1293840000000, 'value': 1.468}, {'date': 1325376000000, 'value': 1.506999999999999}, {'date': 1356998400000, 'value': 1.544999999999999}, {'date': 1388534400000, 'value': 1.497}, {'date': 1420070400000, 'value': 1.653}, {'date': 1451606400000, 'value': 1.669}, {'date': 1483228800000, 'value': 1.591}]",Total energy consumption,Kuwait,1.591,1.591,29.339637742931234,47.59436883714474,KW,1.0,4056,282.1,5.639844026940801,392.25838264299796,0.0
INTL.44-2-LAO-QBTU.A,"Total energy consumption, Laos, Annual",A,44,2,LAO,QBTU,"[{'date': 315532800000, 'value': 0.012999999999999}, {'date': 347155200000, 'value': 0.010999999999999}, {'date': 378691200000, 'value': 0.012}, {'date': 410227200000, 'value': 0.010999999999999}, {'date': 441763200000, 'value': 0.01}, {'date': 473385600000, 'value': 0.008999999999999}, {'date': 504921600000, 'value': 0.01}, {'date': 536457600000, 'value': 0.008}, {'date': 567993600000, 'value': 0.007}, {'date': 599616000000, 'value': 0.008999999999999}, {'date': 631152000000, 'value': 0.01}, {'date': 662688000000, 'value': 0.010999999999999}, {'date': 694224000000, 'value': 0.010999999999999}, {'date': 725846400000, 'value': 0.010999999999999}, {'date': 757382400000, 'value': 0.010999999999999}, {'date': 788918400000, 'value': 0.012999999999999}, {'date': 820454400000, 'value': 0.016}, {'date': 852076800000, 'value': 0.016}, {'date': 883612800000, 'value': 0.021}, {'date': 915148800000, 'value': 0.023}, {'date': 946684800000, 'value': 0.039}, {'date': 978307200000, 'value': 0.041}, {'date': 1009843200000, 'value': 0.041}, {'date': 1041379200000, 'value': 0.04}, {'date': 1072915200000, 'value': 0.041}, {'date': 1104537600000, 'value': 0.048}, {'date': 1136073600000, 'value': 0.055}, {'date': 1167609600000, 'value': 0.052999999999999006}, {'date': 1199145600000, 'value': 0.059999999999999006}, {'date': 1230768000000, 'value': 0.063}, {'date': 1262304000000, 'value': 0.1}, {'date': 1293840000000, 'value': 0.131}, {'date': 1325376000000, 'value': 0.137}, {'date': 1356998400000, 'value': 0.161}, {'date': 1388534400000, 'value': 0.164}, {'date': 1420070400000, 'value': 0.23999999999999902}, {'date': 1451606400000, 'value': 0.41699999999999904}, {'date': 1483228800000, 'value': 0.405}]",Total energy consumption,Laos,0.405,0.405,18.502725460871467,103.73756403961649,LA,1.0,6953,47.8,8.472803347280335,58.248238170573856,0.0
INTL.44-2-LBN-QBTU.A,"Total energy consumption, Lebanon, Annual",A,44,2,LBN,QBTU,"[{'date': 315532800000, 'value': 0.10299999999999901}, {'date': 347155200000, 'value': 0.097}, {'date': 378691200000, 'value': 0.09299999999999901}, {'date': 410227200000, 'value': 0.096}, {'date': 441763200000, 'value': 0.09199999999999901}, {'date': 473385600000, 'value': 0.107}, {'date': 504921600000, 'value': 0.10199999999999901}, {'date': 536457600000, 'value': 0.107}, {'date': 567993600000, 'value': 0.097}, {'date': 599616000000, 'value': 0.076999999999999}, {'date': 631152000000, 'value': 0.07099999999999901}, {'date': 662688000000, 'value': 0.117}, {'date': 694224000000, 'value': 0.12}, {'date': 725846400000, 'value': 0.151}, {'date': 757382400000, 'value': 0.17}, {'date': 788918400000, 'value': 0.182}, {'date': 820454400000, 'value': 0.193}, {'date': 852076800000, 'value': 0.221}, {'date': 883612800000, 'value': 0.223}, {'date': 915148800000, 'value': 0.229}, {'date': 946684800000, 'value': 0.20699999999999902}, {'date': 978307200000, 'value': 0.22}, {'date': 1009843200000, 'value': 0.222}, {'date': 1041379200000, 'value': 0.224}, {'date': 1072915200000, 'value': 0.223}, {'date': 1104537600000, 'value': 0.214}, {'date': 1136073600000, 'value': 0.198}, {'date': 1167609600000, 'value': 0.17499999999999902}, {'date': 1199145600000, 'value': 0.226}, {'date': 1230768000000, 'value': 0.28}, {'date': 1262304000000, 'value': 0.27}, {'date': 1293840000000, 'value': 0.273}, {'date': 1325376000000, 'value': 0.30499999999999905}, {'date': 1356998400000, 'value': 0.30399999999999905}, {'date': 1388534400000, 'value': 0.314}, {'date': 1420070400000, 'value': 0.34599999999999903}, {'date': 1451606400000, 'value': 0.35399999999999904}, {'date': 1483228800000, 'value': 0.376}]",Total energy consumption,Lebanon,0.376,0.376,33.92078814710579,35.87999827206896,LB,1.0,6819,84.7,4.439197166469893,55.14004986068338,0.0
INTL.44-2-LBR-QBTU.A,"Total energy consumption, Liberia, Annual",A,44,2,LBR,QBTU,"[{'date': 315532800000, 'value': 0.032}, {'date': 347155200000, 'value': 0.029}, {'date': 378691200000, 'value': 0.029}, {'date': 410227200000, 'value': 0.029}, {'date': 441763200000, 'value': 0.025999999999999003}, {'date': 473385600000, 'value': 0.025999999999999003}, {'date': 504921600000, 'value': 0.021}, {'date': 536457600000, 'value': 0.016}, {'date': 567993600000, 'value': 0.02}, {'date': 599616000000, 'value': 0.017}, {'date': 631152000000, 'value': 0.008}, {'date': 662688000000, 'value': 0.005}, {'date': 694224000000, 'value': 0.005}, {'date': 725846400000, 'value': 0.005}, {'date': 757382400000, 'value': 0.005}, {'date': 788918400000, 'value': 0.005}, {'date': 820454400000, 'value': 0.006}, {'date': 852076800000, 'value': 0.006}, {'date': 883612800000, 'value': 0.006}, {'date': 915148800000, 'value': 0.006}, {'date': 946684800000, 'value': 0.006}, {'date': 978307200000, 'value': 0.007}, {'date': 1009843200000, 'value': 0.007}, {'date': 1041379200000, 'value': 0.007}, {'date': 1072915200000, 'value': 0.008}, {'date': 1104537600000, 'value': 0.008999999999999}, {'date': 1136073600000, 'value': 0.01}, {'date': 1167609600000, 'value': 0.008999999999999}, {'date': 1199145600000, 'value': 0.008}, {'date': 1230768000000, 'value': 0.007}, {'date': 1262304000000, 'value': 0.010999999999999}, {'date': 1293840000000, 'value': 0.012999999999999}, {'date': 1325376000000, 'value': 0.014}, {'date': 1356998400000, 'value': 0.012999999999999}, {'date': 1388534400000, 'value': 0.017}, {'date': 1420070400000, 'value': 0.017}, {'date': 1451606400000, 'value': 0.019}, {'date': 1483228800000, 'value': 0.017}]",Total energy consumption,Liberia,0.017,0.017,6.452381986826457,-9.319881982056046,LR,1.0,4706,5.9,2.8813559322033897,3.612409689757756,0.0
INTL.44-2-LBY-QBTU.A,"Total energy consumption, Libya, Annual",A,44,2,LBY,QBTU,"[{'date': 315532800000, 'value': 0.402}, {'date': 347155200000, 'value': 0.35999999999999904}, {'date': 378691200000, 'value': 0.35599999999999904}, {'date': 410227200000, 'value': 0.383}, {'date': 441763200000, 'value': 0.384}, {'date': 473385600000, 'value': 0.42199999999999904}, {'date': 504921600000, 'value': 0.441}, {'date': 536457600000, 'value': 0.454}, {'date': 567993600000, 'value': 0.465}, {'date': 599616000000, 'value': 0.48099999999999904}, {'date': 631152000000, 'value': 0.508}, {'date': 662688000000, 'value': 0.53}, {'date': 694224000000, 'value': 0.495}, {'date': 725846400000, 'value': 0.513}, {'date': 757382400000, 'value': 0.53}, {'date': 788918400000, 'value': 0.554}, {'date': 820454400000, 'value': 0.5849999999999991}, {'date': 852076800000, 'value': 0.615999999999999}, {'date': 883612800000, 'value': 0.5929999999999991}, {'date': 915148800000, 'value': 0.535}, {'date': 946684800000, 'value': 0.7269999999999991}, {'date': 978307200000, 'value': 0.7319999999999991}, {'date': 1009843200000, 'value': 0.755}, {'date': 1041379200000, 'value': 0.7439999999999991}, {'date': 1072915200000, 'value': 0.762}, {'date': 1104537600000, 'value': 0.788}, {'date': 1136073600000, 'value': 0.7229999999999991}, {'date': 1167609600000, 'value': 0.7179999999999991}, {'date': 1199145600000, 'value': 0.745}, {'date': 1230768000000, 'value': 0.8529999999999991}, {'date': 1262304000000, 'value': 0.9}, {'date': 1293840000000, 'value': 0.5899999999999991}, {'date': 1325376000000, 'value': 0.7359999999999991}, {'date': 1356998400000, 'value': 0.791}, {'date': 1388534400000, 'value': 0.773}, {'date': 1420070400000, 'value': 0.6149999999999991}, {'date': 1451606400000, 'value': 0.6019999999999991}, {'date': 1483228800000, 'value': 0.5719999999999991}]",Total energy consumption,Libya,0.5719999999999991,0.5719999999999991,27.030368521789487,18.00959501015445,LY,1.0,6581,59.4,9.629629629629614,86.91688193283682,0.0
